full_name,text,label,confidence,reason,label_id
K-Dense-AI/karpathy,"Repository named 'karpathy' in Python with high popularity (1447 stars, 165 forks). Maintained by a small team of 3 contributors, 27 total commits (9.0 per contributor). 0 releases, 3 open issues. It lacks CI/CD workflows, has a README of 5681 characters, 3 topics, and is licensed. The project is 0.5 years old and currently active (last push 0 days ago).",senior,0.8,"High popularity, maintained by a small team, good documentation, and recent activity, but lacks CI/CD workflows and releases.",2
marofy1991-commits/astro-blog-starter-template,"Repository named 'astro-blog-starter-template' in Astro with almost no popularity (0 stars, 0 forks). Maintained by a single contributor, 1 total commits (1.0 per contributor). 0 releases, 0 open issues. It lacks CI/CD workflows, has a README of 3162 characters, no topics, and is no license. The project is 0.0 years old and currently active (last push 0 days ago).",template,0.8,"The repository is named 'astro-blog-starter-template', has a large README, and is maintained by a single contributor, suggesting it's a template or starter project.",4
RyanCodrai/turbovec,"Repository named 'turbovec' in Python with high popularity (3469 stars, 311 forks). Maintained by a small team of 3 contributors, 141 total commits (47.0 per contributor). 0 releases, 4 open issues. It has CI/CD workflows, has a README of 13513 characters, 15 topics, and is licensed. The project is 0.2 years old and currently active (last push 0 days ago).",senior,0.9,"High popularity, maintained by a small team, CI/CD workflows, detailed README, and sustained activity.",2
hadrysm/nextjs-boilerplate,"Repository named 'nextjs-boilerplate' in TypeScript with moderate popularity (224 stars, 37 forks). Maintained by a small team of 2 contributors, 1055 total commits (527.5 per contributor). 0 releases, 10 open issues. It has CI/CD workflows, has a README of 2801 characters, 16 topics, and is licensed. The project is 4.0 years old and currently active (last push 7 days ago).",template,0.8,"Moderate popularity, reusable boilerplate, CI/CD, and active maintenance suggest a template repository.",4
facefusion/facefusion,"Repository named 'facefusion' in Python with very high popularity (28603 stars, 4655 forks). Maintained by a small team of 3 contributors, 397 total commits (132.3 per contributor). 19 releases, 1 open issues. It has CI/CD workflows, has a README of 2842 characters, 7 topics, and is licensed. The project is 2.8 years old and currently active (last push 0 days ago).",lead,0.9,"High popularity, multiple contributors, sustained activity, good documentation, and CI/CD workflows.",3
LobsterTrap/lola,"Repository named 'lola' in Python with low popularity (91 stars, 21 forks). Maintained by a team of 16 contributors, 286 total commits (17.9 per contributor). 5 releases, 54 open issues. It has CI/CD workflows, has a README of 13350 characters, no topics, and is licensed. The project is 0.6 years old and currently active (last push 0 days ago).",senior,0.8,"Large team, multiple releases, CI/CD, good documentation, and sustained activity, but limited community engagement (low popularity)",2
NousResearch/hermes-agent,"Repository named 'hermes-agent' in Python with very high popularity (172623 stars, 29055 forks). Maintained by a large community of 384 contributors, 9945 total commits (25.9 per contributor). 16 releases, 14979 open issues. It has CI/CD workflows, has a README of 13822 characters, 16 topics, and is licensed. The project is 0.8 years old and currently active (last push 0 days ago).",lead,0.95,"High popularity, large community, sustained activity, good documentation, and robust CI/CD workflows.",3
NopeCHALLC/nopecha-scripts,"Repository named 'nopecha-scripts' in Python with high popularity (1387 stars, 8 forks). Maintained by a small team of 3 contributors, 4 total commits (1.3 per contributor). 0 releases, 0 open issues. It lacks CI/CD workflows, has a README of 1204 characters, 12 topics, and is licensed. The project is 3.2 years old and currently active (last push 0 days ago).",senior,0.8,"High popularity, maintained by a small team, active, and good documentation, but lacks CI/CD workflows and releases.",2
nicolerenee/infra,"Repository named 'infra' in Python with moderate popularity (108 stars, 7 forks). Maintained by a small team of 4 contributors, 3236 total commits (809.0 per contributor). 0 releases, 16 open issues. It has CI/CD workflows, has a README of 8077 characters, 7 topics, and is no license. The project is 7.8 years old and currently active (last push 0 days ago).",senior,0.8,"CI/CD workflows, moderate popularity, active maintenance, and a well-documented README suggest a mature and well-engineered project.",2
pimerrider/binance-volume-scanner,"Repository named 'binance-volume-scanner' in Python with almost no popularity (0 stars, 0 forks). Maintained by a single contributor, 15 total commits (15.0 per contributor). 0 releases, 0 open issues. It lacks CI/CD workflows, has a README of 49 characters, no topics, and is no license. The project is 0.0 years old and currently active (last push 0 days ago).",low_value,0.8,"Very low popularity, minimal commits, no CI/CD, and lack of documentation.",5
getsentry/sentry,"Repository named 'sentry' in Python with very high popularity (43991 stars, 4709 forks). Maintained by a large community of 353 contributors, 104443 total commits (295.9 per contributor). 170 releases, 2105 open issues. It has CI/CD workflows, has a README of 3180 characters, 15 topics, and is licensed. The project is 15.8 years old and currently active (last push 0 days ago).",lead,0.95,"High popularity, large community, sustained activity, good documentation, and robust CI/CD workflows.",3
novtom/rss,"Repository named 'rss' in Python with almost no popularity (0 stars, 0 forks). Maintained by a single contributor, 1549 total commits (1549.0 per contributor). 0 releases, 0 open issues. It has CI/CD workflows, has no README, no topics, and is no license. The project is 0.8 years old and currently active (last push 0 days ago).",junior,0.7,"CI/CD workflows and recent activity suggest some level of engineering maturity, but lack of README, license, and popularity indicate a relatively simple project.",1
Devtography/electron-react-typescript-webpack-boilerplate,"Repository named 'electron-react-typescript-webpack-boilerplate' in JavaScript with moderate popularity (236 stars, 41 forks). Maintained by a small team of 2 contributors, 258 total commits (129.0 per contributor). 9 releases, 12 open issues. It has CI/CD workflows, has a README of 14198 characters, 15 topics, and is licensed. The project is 7.6 years old and currently active (last push 2 days ago).",senior,0.9,"CI/CD workflows, moderate popularity, sustained activity, good documentation, and multiple contributors indicate a mature and well-engineered project.",2
brocoders/nestjs-boilerplate,"Repository named 'nestjs-boilerplate' in TypeScript with high popularity (4317 stars, 934 forks). Maintained by a team of 23 contributors, 2121 total commits (92.2 per contributor). 0 releases, 39 open issues. It has CI/CD workflows, has a README of 5730 characters, 19 topics, and is licensed. The project is 5.8 years old and currently active (last push 0 days ago).",lead,0.9,"High popularity, large team, sustained activity, good CI/CD, and comprehensive README.",3
diegoclair/go_boilerplate,"Repository named 'go_boilerplate' in Go with low popularity (33 stars, 1 forks). Maintained by a single contributor, 397 total commits (397.0 per contributor). 0 releases, 0 open issues. It has CI/CD workflows, has a README of 10373 characters, 11 topics, and is licensed. The project is 4.7 years old and currently active (last push 12 days ago).",template,0.8,"Low popularity, single contributor, and presence of CI/CD workflows and a detailed README suggest a reusable boilerplate project.",4
pypa/cibuildwheel,"Repository named 'cibuildwheel' in Python with high popularity (2237 stars, 315 forks). Maintained by a large community of 162 contributors, 3618 total commits (22.3 per contributor). 99 releases, 87 open issues. It has CI/CD workflows, has a README of 29778 characters, 11 topics, and is licensed. The project is 9.2 years old and currently active (last push 0 days ago).",lead,0.95,"Large, mature, multi-contributor repository with sustained activity, broad community, and high-quality documentation.",3
evolutis-ai/evolutis,"Repository named 'evolutis' in Python with almost no popularity (1 stars, 0 forks). Maintained by a small team of 2 contributors, 28274 total commits (14137.0 per contributor). 0 releases, 0 open issues. It lacks CI/CD workflows, has a README of 3152 characters, no topics, and is no license. The project is 0.3 years old and currently active (last push 0 days ago).",senior,0.7,"Large number of commits, active maintenance, and a substantial README suggest a mature project, but lack of CI/CD, releases, and a license indicate room for improvement.",2
fixiesixty/astro-blog-starter-template,"Repository named 'astro-blog-starter-template' in Astro with almost no popularity (0 stars, 0 forks). Maintained by a single contributor, 1 total commits (1.0 per contributor). 0 releases, 0 open issues. It lacks CI/CD workflows, has a README of 3162 characters, no topics, and is no license. The project is 0.0 years old and currently active (last push 0 days ago).",template,0.8,"The repository is named 'astro-blog-starter-template', has a large README, and is maintained by a single contributor, suggesting it's a template or starter project.",4
ZhuLinsen/daily_stock_analysis,"Repository named 'daily_stock_analysis' in Python with very high popularity (39380 stars, 38025 forks). Maintained by a large community of 73 contributors, 696 total commits (9.5 per contributor). 23 releases, 33 open issues. It has CI/CD workflows, has a README of 9568 characters, 7 topics, and is licensed. The project is 0.4 years old and currently active (last push 0 days ago).",lead,0.95,"High popularity, large community, sustained activity, good documentation, and CI/CD practices.",3
camelot-dev/camelot,"Repository named 'camelot' in Python with high popularity (3727 stars, 539 forks). Maintained by a large community of 70 contributors, 1473 total commits (21.0 per contributor). 10 releases, 56 open issues. It has CI/CD workflows, has a README of 10954 characters, no topics, and is licensed. The project is 6.9 years old and currently active (last push 0 days ago).",lead,0.95,"Large, mature, multi-contributor repository with sustained activity, broad community, and good engineering practices.",3
scipy/scipy-stubs,"Repository named 'scipy-stubs' in Python with low popularity (90 stars, 36 forks). Maintained by a team of 31 contributors, 4453 total commits (143.6 per contributor). 39 releases, 27 open issues. It has CI/CD workflows, has a README of 30279 characters, 4 topics, and is licensed. The project is 1.8 years old and currently active (last push 0 days ago).",lead,0.9,"Large, mature, multi-contributor repository with sustained activity, CI/CD, and good documentation.",3
locomotivemtl/astro-boilerplate,"Repository named 'astro-boilerplate' in TypeScript with low popularity (61 stars, 19 forks). Maintained by a team of 8 contributors, 132 total commits (16.5 per contributor). 0 releases, 26 open issues. It lacks CI/CD workflows, has a README of 2796 characters, 2 topics, and is licensed. The project is 2.0 years old and currently active (last push 13 days ago).",template,0.8,"low popularity, presence of a team, and a large README suggest a reusable boilerplate project",4
batyrovbahrom96-svg/SAT1600.uz,"Repository named 'SAT1600.uz' in Python with almost no popularity (0 stars, 0 forks). Maintained by a small team of 2 contributors, 219 total commits (109.5 per contributor). 0 releases, 0 open issues. It lacks CI/CD workflows, has a README of 9666 characters, no topics, and is no license. The project is 0.0 years old and currently active (last push 0 days ago).",junior,0.7,"Limited CI/CD practices, modest documentation, and a small team with a high commit rate suggest a junior-level repository.",1
rizkiameli/blog-starter-template,"Repository named 'blog-starter-template' in TypeScript with almost no popularity (0 stars, 0 forks). Maintained by a small team of 2 contributors, 16 total commits (8.0 per contributor). 0 releases, 0 open issues. It lacks CI/CD workflows, has a README of 5211 characters, 18 topics, and is licensed. The project is 1.9 years old and currently active (last push 0 days ago).",template,0.8,"Repository is named 'blog-starter-template', has a large README, and is licensed, suggesting it's a reusable template.",4
UiPath/uipath-langchain-python,"Repository named 'uipath-langchain-python' in Python with low popularity (70 stars, 34 forks). Maintained by a large community of 54 contributors, 900 total commits (16.7 per contributor). 3 releases, 81 open issues. It has CI/CD workflows, has a README of 4181 characters, 4 topics, and is licensed. The project is 1.1 years old and currently active (last push 0 days ago).",lead,0.9,"Large community, sustained activity, multiple releases, good documentation, and CI/CD workflows.",3
langflow-ai/langflow,"Repository named 'langflow' in Python with very high popularity (148878 stars, 9142 forks). Maintained by a large community of 323 contributors, 17738 total commits (54.9 per contributor). 294 releases, 932 open issues. It has CI/CD workflows, has a README of 4690 characters, 6 topics, and is licensed. The project is 3.3 years old and currently active (last push 0 days ago).",lead,0.95,"High popularity, large community, sustained activity, good documentation, and robust CI/CD workflows.",3
shlapolosa/wear-125959-api,"Repository named 'wear-125959-api' in Python with almost no popularity (0 stars, 0 forks). Maintained by a single contributor, 28 total commits (28.0 per contributor). 0 releases, 0 open issues. It has CI/CD workflows, has a README of 75 characters, 4 topics, and is licensed. The project is 0.0 years old and currently active (last push 0 days ago).",junior,0.7,"Limited popularity, simple README, and lack of releases suggest a junior-level repository, but the presence of CI/CD workflows indicates some level of engineering maturity.",1
q1azq1a/Rss-1314,"Repository named 'Rss-1314' in Python with almost no popularity (1 stars, 0 forks). Maintained by a small team of 3 contributors, 10291 total commits (3430.3 per contributor). 0 releases, 0 open issues. It has CI/CD workflows, has a README of 1523 characters, no topics, and is licensed. The project is 1.6 years old and currently active (last push 0 days ago).",senior,0.8,"CI/CD workflows, sustained activity, good documentation, and multiple contributors indicate a mature project, but lack of popularity and releases suggests it may not be widely adopted.",2
FuckFiat/polymarket-whale-tracker,"Repository named 'polymarket-whale-tracker' in Python with almost no popularity (2 stars, 1 forks). Maintained by a single contributor, 11336 total commits (11336.0 per contributor). 0 releases, 1 open issues. It lacks CI/CD workflows, has a README of 2357 characters, no topics, and is no license. The project is 0.1 years old and currently active (last push 0 days ago).",junior,0.7,"Limited practices, little CI/CD, modest documentation, and a single contributor with a high commit rate, but no releases and a small community.",1
langflow-ai/openrag,"Repository named 'openrag' in Python with high popularity (4092 stars, 405 forks). Maintained by a team of 40 contributors, 3821 total commits (95.5 per contributor). 57 releases, 245 open issues. It has CI/CD workflows, has a README of 6176 characters, no topics, and is licensed. The project is 0.9 years old and currently active (last push 0 days ago).",lead,0.95,"High popularity, large team, many releases, good CI/CD, active and well-documented project.",3
vorterixgames-gif/compucity,"Repository named 'compucity' in Python with almost no popularity (0 stars, 0 forks). Maintained by a single contributor, 84 total commits (84.0 per contributor). 0 releases, 0 open issues. It lacks CI/CD workflows, has no README, no topics, and is no license. The project is 0.0 years old and currently active (last push 0 days ago).",intern,0.8,"Minimal structure, no tests/CI, tiny README, single author, very few commits, and lack of popularity.",0
nabilgr847/Doctor,"Repository named 'Doctor' in Python with almost no popularity (0 stars, 0 forks). Maintained by a single contributor, 10444 total commits (10444.0 per contributor). 0 releases, 0 open issues. It has CI/CD workflows, has no README, no topics, and is no license. The project is 0.1 years old and currently active (last push 0 days ago).",low_value,0.8,"High commit frequency from a single contributor with no popularity, lack of documentation, and no releases.",5
Universal-Commerce-Protocol/ucp,"Repository named 'ucp' in Python with high popularity (3057 stars, 395 forks). Maintained by a team of 38 contributors, 176 total commits (4.6 per contributor). 3 releases, 117 open issues. It has CI/CD workflows, has a README of 5690 characters, no topics, and is licensed. The project is 0.4 years old and currently active (last push 0 days ago).",lead,0.9,"High popularity, large team, multiple releases, CI/CD, good documentation, and sustained activity.",3
agentforce314/clawcodex,"Repository named 'clawcodex' in Python with moderate popularity (259 stars, 24 forks). Maintained by a small team of 3 contributors, 336 total commits (112.0 per contributor). 0 releases, 9 open issues. It lacks CI/CD workflows, has a README of 26308 characters, 14 topics, and is licensed. The project is 0.1 years old and currently active (last push 0 days ago).",senior,0.8,"Moderate popularity, multiple contributors, sustained activity, good documentation, but lacks CI/CD workflows and releases.",2
amirfish1/claude-command-center,"Repository named 'claude-command-center' in Python with low popularity (57 stars, 2 forks). Maintained by a small team of 2 contributors, 653 total commits (326.5 per contributor). 13 releases, 2 open issues. It has CI/CD workflows, has a README of 18544 characters, 10 topics, and is licensed. The project is 0.1 years old and currently active (last push 0 days ago).",senior,0.8,"CI/CD workflows, sustained activity, good documentation, and multiple contributors indicate a mature project, but low popularity and small team size prevent it from being classified as 'lead'.",2
github/spec-kit,"Repository named 'spec-kit' in Python with very high popularity (106994 stars, 9468 forks). Maintained by a large community of 202 contributors, 1034 total commits (5.1 per contributor). 153 releases, 431 open issues. It has CI/CD workflows, has a README of 31752 characters, 7 topics, and is licensed. The project is 0.8 years old and currently active (last push 0 days ago).",lead,0.95,"High popularity, large community, sustained activity, good documentation, and robust CI/CD workflows.",3
radixark/miles,"Repository named 'miles' in Python with high popularity (1452 stars, 230 forks). Maintained by a large community of 94 contributors, 1211 total commits (12.9 per contributor). 0 releases, 350 open issues. It has CI/CD workflows, has a README of 9464 characters, no topics, and is licensed. The project is 0.6 years old and currently active (last push 0 days ago).",lead,0.9,"High popularity, large community, sustained activity, CI/CD, good documentation, and active maintenance.",3
modelcontextprotocol/python-sdk,"Repository named 'python-sdk' in Python with very high popularity (23172 stars, 3481 forks). Maintained by a large community of 182 contributors, 859 total commits (4.7 per contributor). 56 releases, 506 open issues. It has CI/CD workflows, has a README of 88162 characters, no topics, and is licensed. The project is 1.7 years old and currently active (last push 0 days ago).",lead,0.95,"High popularity, large community, sustained activity, good CI/CD practices, comprehensive README, and many releases.",3
exo-explore/exo,"Repository named 'exo' in Python with very high popularity (44975 stars, 3202 forks). Maintained by a large community of 95 contributors, 2348 total commits (24.7 per contributor). 16 releases, 238 open issues. It has CI/CD workflows, has a README of 21276 characters, no topics, and is licensed. The project is 1.9 years old and currently active (last push 0 days ago).",lead,0.95,"High popularity, large community, sustained activity, good CI/CD practices, comprehensive README, and multiple releases.",3
serengil/deepface,"Repository named 'deepface' in Python with very high popularity (22841 stars, 3103 forks). Maintained by a large community of 87 contributors, 2123 total commits (24.4 per contributor). 20 releases, 10 open issues. It has CI/CD workflows, has a README of 25279 characters, 17 topics, and is licensed. The project is 6.3 years old and currently active (last push 0 days ago).",lead,0.95,"Large, mature, multi-contributor repository with sustained activity, broad community, and high-quality documentation.",3
Saisumanthklv/weapp-starter-template,"Repository named 'weapp-starter-template' in JavaScript with almost no popularity (1 stars, 0 forks). Maintained by a small team of 2 contributors, 8 total commits (4.0 per contributor). 0 releases, 0 open issues. It lacks CI/CD workflows, has a README of 4534 characters, 11 topics, and is licensed. The project is 0.6 years old and currently active (last push 0 days ago).",template,0.8,"Repository name suggests a template, has a small team, and is actively maintained with a large README, indicating it's a reusable boilerplate.",4
plotly/dash,"Repository named 'dash' in Python with very high popularity (24220 stars, 2285 forks). Maintained by a large community of 182 contributors, 9696 total commits (53.3 per contributor). 105 releases, 547 open issues. It has CI/CD workflows, has a README of 6478 characters, 18 topics, and is licensed. The project is 11.1 years old and currently active (last push 0 days ago).",lead,0.95,"High popularity, large community, sustained activity, good documentation, and robust CI/CD workflows.",3
pantsbuild/pants,"Repository named 'pants' in Python with high popularity (3776 stars, 703 forks). Maintained by a large community of 368 contributors, 15258 total commits (41.5 per contributor). 668 releases, 1091 open issues. It has CI/CD workflows, has a README of 1057 characters, 20 topics, and is licensed. The project is 13.5 years old and currently active (last push 0 days ago).",lead,0.95,"High popularity, large community, sustained activity, multiple releases, and good engineering practices.",3
PrefectHQ/prefect,"Repository named 'prefect' in Python with very high popularity (22499 stars, 2325 forks). Maintained by a large community of 422 contributors, 21556 total commits (51.1 per contributor). 829 releases, 828 open issues. It has CI/CD workflows, has a README of 8544 characters, 14 topics, and is licensed. The project is 7.9 years old and currently active (last push 0 days ago).",lead,0.95,"High popularity, large community, sustained activity, good documentation, and robust CI/CD workflows.",3
flipperdevices/flipperone-docs,"Repository named 'flipperone-docs' in Python with low popularity (60 stars, 19 forks). Maintained by a team of 9 contributors, 743 total commits (82.6 per contributor). 0 releases, 4 open issues. It has CI/CD workflows, has a README of 3645 characters, no topics, and is no license. The project is 0.8 years old and currently active (last push 0 days ago).",senior,0.8,"CI/CD workflows, multiple contributors, sustained activity, and a comprehensive README indicate a mature project, but lack of releases and a clear license are notable drawbacks.",2
run-llama/llama_index,"Repository named 'llama_index' in Python with very high popularity (49759 stars, 7478 forks). Maintained by a large community of 474 contributors, 7819 total commits (16.5 per contributor). 431 releases, 395 open issues. It has CI/CD workflows, has a README of 13325 characters, 10 topics, and is licensed. The project is 3.6 years old and currently active (last push 0 days ago).",lead,0.95,"High popularity, large community, sustained activity, good documentation, and robust CI/CD workflows.",3
vosslab/starter-repo-template,"Repository named 'starter-repo-template' in Python with almost no popularity (1 stars, 0 forks). Maintained by a single contributor, 104 total commits (104.0 per contributor). 0 releases, 0 open issues. It lacks CI/CD workflows, has a README of 2977 characters, no topics, and is no license. The project is 0.3 years old and currently active (last push 0 days ago).",template,0.8,"Repository is named 'starter-repo-template', has a large README, and lacks CI/CD workflows, suggesting it's a reusable template.",4
python-telegram-bot/python-telegram-bot,"Repository named 'python-telegram-bot' in Python with very high popularity (29186 stars, 6061 forks). Maintained by a large community of 191 contributors, 3172 total commits (16.6 per contributor). 132 releases, 32 open issues. It has CI/CD workflows, has a README of 14189 characters, 5 topics, and is licensed. The project is 10.9 years old and currently active (last push 0 days ago).",lead,0.95,"High popularity, large community, sustained activity, good documentation, and robust CI/CD workflows.",3
NevermindNilas/TheAnimeScripter,"Repository named 'TheAnimeScripter' in Python with moderate popularity (285 stars, 11 forks). Maintained by a small team of 5 contributors, 2678 total commits (535.6 per contributor). 105 releases, 2 open issues. It has CI/CD workflows, has a README of 16176 characters, 14 topics, and is licensed. The project is 2.5 years old and currently active (last push 0 days ago).",senior,0.9,"CI/CD workflows, multiple contributors, sustained activity, good documentation, and a large number of releases.",2
